,gene_heritability_correlation
PLEKHM2,0.104681706568125
SLC25A34,-0.0469329578908187
RP11-169K16.4,-0.0025458309364317
TMEM82,-0.130978947586475
FBLIM1,-0.0243509601589087
UQCRHL,0.0714606810982822
FLJ37453,0.0336673940759239
SPEN,-0.0359803034581499
ZBTB17,0.00592240253922748
FAM131C,-0.00680114930916649
EPHA2,-0.081076879144296
RP11-276H7.2,0.0300251776662487
ARHGEF19,-0.0292082088018994
RSG1,0.0314310985464976
FBXO42,0.0502156970191028
SZRD1,0.00208317081729326
SPATA21,0
NECAP2,0.0269468065959127
RP4-798A10.2,0.000700463243774471
RP4-798A10.7,0.00619905894392095
RP4-798A10.4,-0.00134098783622493
NBPF1,0.00515550251964214
RP5-1182A14.5,0
CROCC,0.0153568727458424
RP11-108M9.4,0.0854828638091649
RP11-108M9.6,0.0656324031979855
MFAP2,0
ATP13A2,0.0540335109043061
SDHB,0.0794083347107582
PADI2,0.00453849070815046
PADI4,-0.0157906091987384
RCC2,0.0417994916185818
ARHGEF10L,-0.0561759678748062
IGSF21,-0.0161918666660899
KLHDC7A,-0.00936626148960211
ALDH4A1,-0.23314964791672
IFFO2,0.0398565802131014
UBR4,-0.0736526645102776
RP1-43E13.2,-0.0262260333732671
EMC1,0.0786693732144355
MRTO4,0.0684441879755344
AKR7A3,-0.012769638800441
AKR7A2,-0.0232816923973761
PQLC2,0.0103251583126438
CAPZB,0.0211554584006625
MINOS1,0.106868488965964
NBL1,-0.00607122858334534
TMCO4,-0.0196139126196903
OTUD3,-0.0422689373769909
PLA2G2A,-0.0630579065187132
PLA2G5,0.0263280827158936
PLA2G2D,0.0722039003979823
RP3-340N1.2,0
PLA2G2C,0
UBXN10-AS1,0.0834536829236591
UBXN10,0.010839274484115
RP4-745E8.2,0
CAMK2N1,-0.117588328002559
MUL1,-0.00925656234793403
FAM43B,0.00881335636019196
CDA,0.0146792447966006
PINK1,-0.0420940375911456
PINK1-AS,0.0180752134680834
DDOST,0.0944630287973101
KIF17,-0.0061433084523536
HP1BP3,0.0767351113453097
EIF4G3,0.0242698368160584
ECE1,-0.0654267321576758
NBPF3,-0.000638961453648762
ALPL,-0.0474924443411597
RAP1GAP,-0.0465157993489333
USP48,0.0370163184577076
LDLRAD2,0.00434299653868693
HSPG2,-0.109207864616137
RP1-224A6.3,0.0077465628687826
LINC00339,0.0077841968269215
CDC42,0.207703359691999
RP1-224A6.9,0.072657623001556
WNT4,-0.00564344310572648
ZBTB40,-0.0273489946622793
C1QA,0.249616538627409
C1QC,0.281482170664567
C1QB,0.253577837667734
EPHB2,0.00267212835448487
C1orf234,0
KDM1A,0.013850408293043
LUZP1,0.0252495889612956
HTR1D,0.0315907809609615
LINC01355,-0.0359323457742458
HNRNPR,0.0767842740151498
ZNF436,0.0255035540847611
ZNF436-AS1,0.0373622787769027
RP5-1057J7.7,-0.00821865726095871
TCEA3,-0.0258479611891185
ASAP3,0.00265474076269338
E2F2,0.0273685259461186
ID3,-0.000556948867477011
MDS2,-0.0642766573685245
RPL11,0.38186789973665
TCEB3,0.000277154848962515
TCEB3-AS1,-0.00947980959712809
PITHD1,0.0465322359496072
LYPLA2,0.0753604286435912
GALE,-0.0226794297225726
HMGCL,-0.09966003789263
FUCA1,0.0633871816685674
CNR2,-0.00808044994467144
PNRC2,0.0153344087079155
SRSF10,-0.00940892375742323
IL22RA1,-0.0249425774066181
IFNLR1,-0.0793560344147599
GRHL3,0
STPG1,-0.0339722366457422
NIPAL3,-0.0114779566904568
RCAN3,0.0367536593085186
RP4-594I10.3,0.0142136294654312
NCMAP,-0.0021142252585071
SRRM1,-0.00367108355265918
CLIC4,-0.0208736565854585
RUNX3,0.0930531943181801
RP4-799D16.1,-0.0112983490578697
RP4-706G24.1,0
SYF2,0.133712839476423
RSRP1,0.0812777454966421
RP3-465N24.6,0
RHD,0.11471534745772
TMEM50A,0.030417259732709
RHCE,0.0361356245111713
TMEM57,-0.0527827834239852
LDLRAP1,0.00759142340966049
RP11-70P17.1,0.00240830751940032
MAN1C1,-0.107436757719704
RP1-187B23.1,-0.101096165751721
SEPN1,-0.0348854385548569
