,annotation,bootstrap_estimate,bootstrap_error,bt_value,bp_value,bias_corrected_estimate,CI_lo,CI_hi
Intercept,Intercept,0.0117799214337966,0.0016440614340885,7.16513458046516,3.88550874092061e-13,0.0116429720366688,0.0088260448431511,0.0146740096050843
Celltype1,Celltype1,0.0284371425523097,0.0143970732676984,1.97520301685981,0.0241225568514135,0.0348061497406955,-0.00148865528898969,0.0543844246729076
Celltype10,Celltype10,-0.0770709258746182,0.0211486227617792,-3.64425271294283,0.99986591508502,-0.061829283856627,-0.121309832021781,-0.0398624611732144
Celltype2,Celltype2,0.00774104407964673,0.00465171584039025,1.66412660301221,0.0480435658695505,0.0084406086941871,-0.0003753853554813,0.0191357463693782
Celltype3,Celltype3,0.0255537997570592,0.00682202034661535,3.74578181516819,8.99164200755856e-05,0.025616825173536,0.0126898486661252,0.0393566746798071
Celltype4,Celltype4,0.0298929750585468,0.0166243605463707,1.79814285037705,0.0360771866279797,0.0218765844223206,-0.00227451421535685,0.0603043061742527
Celltype5,Celltype5,0.013516347511423,0.00845137549866343,1.59930741611949,0.0548761562557826,0.00978520360134768,-0.000695650177969995,0.0318375366991258
Celltype6,Celltype6,0.00528932678280346,0.00267285868950193,1.97890251496577,0.0239134915294682,0.00451818246590507,-2.68813815141691e-05,0.0101167413957064
Celltype7,Celltype7,-0.00331311761698882,0.00161781032783204,-2.04790237767154,0.979715217073237,-0.00296611776670604,-0.00636348771876855,-0.000511185166165112
Celltype8,Celltype8,-0.00951581341426624,0.00226811675818741,-4.19546894132157,0.999986384619941,-0.00949303562476024,-0.0145898273797567,-0.00543781945719021
Celltype9,Celltype9,-0.00705010105444836,0.00564682762327249,-1.24850651105277,0.894077187260626,-0.00862718409192804,-0.0181706859957508,0.00400396126875002
