,gene_heritability_correlation
RP4-798A10.2,0.0298841218755063
RP4-798A10.7,-0.0405488284952383
RP4-798A10.4,0
NBPF1,-0.0226309376032032
RP5-1182A14.5,0
CROCC,-0.028019414989252
RP11-108M9.4,0.0806400108342354
RP11-108M9.6,0.0777351700218691
MFAP2,0
ATP13A2,0.0239973460721952
SDHB,0.0534381768031686
PADI2,0
PADI4,0
RCC2,-0.0259247690012658
ARHGEF10L,-0.0472113549243734
IGSF21,-0.00444654440693427
KLHDC7A,0
ALDH4A1,-0.110476574625633
IFFO2,0.00853225811849439
UBR4,0.180586325518241
RP1-43E13.2,0.282922021776819
EMC1,0.00257275587487447
MRTO4,0.239017407657074
AKR7A3,-0.095522155098981
AKR7A2,0.0330085691426549
PQLC2,-0.0398511512585999
CAPZB,-0.0916401653653112
MINOS1,0.033750089781159
NBL1,0.177933256815665
TMCO4,-0.0232392520759039
OTUD3,-0.0367805719228435
PLA2G2A,-0.131654851232245
PLA2G5,-0.0349908488980775
PLA2G2D,0.0599981617388714
RP3-340N1.2,0
PLA2G2C,0
UBXN10-AS1,0.109210480159914
UBXN10,-0.011509413819364
RP4-745E8.2,0
CAMK2N1,-0.0772351222658148
MUL1,-0.0736645304730237
FAM43B,-0.00686181668268163
CDA,-0.0541157254540546
PINK1,0.221514048128134
PINK1-AS,-0.0264900709986211
DDOST,-0.000751252060207897
KIF17,-0.0143675857193352
HP1BP3,0.0883310549782109
EIF4G3,0.0850443068217461
ECE1,0.0481754229293998
NBPF3,-0.0147734662893184
ALPL,0.0408889022342848
RAP1GAP,-0.0488601892706652
USP48,0.0328905622414571
LDLRAD2,-0.00280832705891067
HSPG2,-0.0151680353538364
RP1-224A6.3,0.00717325486648193
LINC00339,-0.0138584347718194
CDC42,0.0470274867129064
RP1-224A6.9,0
WNT4,-0.0432802880132746
ZBTB40,-0.0319975090035946
C1QA,-0.097797068684298
C1QC,-0.0284857647865563
C1QB,-0.0663938510269689
EPHB2,-0.0505987449757328
C1orf234,0
KDM1A,0.0174963467715476
LUZP1,0.10216724594559
HTR1D,0
LINC01355,0
HNRNPR,0.0767699709969942
ZNF436,0
ZNF436-AS1,0.0344218905508123
RP5-1057J7.7,0
TCEA3,-0.0992297924496635
ASAP3,-0.0144503075515662
E2F2,0.00462957816516881
ID3,0.0736418864479333
MDS2,-0.0988665660328462
RPL11,0.277791698872263
TCEB3,-0.0744230765566339
TCEB3-AS1,-0.0468378617480628
PITHD1,-0.034349918803857
LYPLA2,0.133090236481588
GALE,-0.001501261780215
HMGCL,-0.0408107678060987
FUCA1,-0.0523430375948429
CNR2,-0.0119462896020313
PNRC2,0.0438018723476361
SRSF10,0.00324650083706127
IL22RA1,0
IFNLR1,0.0474984503169696
GRHL3,0
STPG1,-0.0122842816379439
NIPAL3,-0.046347095107795
RCAN3,-5.07260809442935e-05
RP4-594I10.3,0.00519299705252089
NCMAP,-0.0399629740444411
SRRM1,-0.00509721141375853
CLIC4,-0.101395170728993
RUNX3,0.00517112098002636
RP4-799D16.1,0
RP4-706G24.1,0
SYF2,0.209219139622264
RSRP1,0.312935892919798
RP3-465N24.6,0
RHD,0.126156366632486
TMEM50A,0.0232211002266131
RHCE,0.00115829535205846
TMEM57,-0.0432255922364311
LDLRAP1,-0.00896890153265129
RP11-70P17.1,0.0310429227086704
MAN1C1,-0.00773592649559799
RP1-187B23.1,0.00513829573338941
SEPN1,-0.0338875401549272
RP1-317E23.3,0.081429927651364
MTFR1L,-0.0527240294468381
AUNIP,0
RP1-125I3.2,0
PAQR7,-0.044844386088403
STMN1,-0.00198702171093762
PAFAH2,0.00466958690614011
SLC30A2,0
TRIM63,0
PDIK1L,0.0817842543612382
FAM110D,-0.0234743888561455
RP11-96L14.7,0
ZNF593,-0.0153576900676376
CNKSR1,-0.0236526957157548
CEP85,0
SH3BGRL3,-0.0356668824116712
UBXN11,-0.0627490085047589
CD52,0.0329207918337555
AIM1L,0
ZNF683,0
