,annotation,bootstrap_estimate,bootstrap_error,bt_value,bp_value,bias_corrected_estimate,CI_lo,CI_hi
Intercept,Intercept,0.0154463945015425,0.00234505001253548,6.58680813584944,2.24691189562168e-11,0.0151058512539969,0.0106646627708944,0.0195793583640825
Celltype10,Celltype10,-0.00707822785518363,0.00736226281505524,-0.961420154780296,0.831829522825164,-0.009347621354222,-0.0181420652260775,0.00757834357844916
Celltype6,Celltype6,0.0077947573059993,0.00308300090444801,2.52830198484645,0.00573078599297894,0.00676518886231512,0.00202749295230982,0.0142039641270518
Celltype7,Celltype7,-0.008517131644059,0.00265745011088422,-3.20500151975575,0.999324691162733,-0.00698773516176639,-0.0143857780432137,-0.00437646266303765
Celltype8,Celltype8,-0.00688384746290257,0.00205682101607583,-3.34683835350737,0.999591305704302,-0.00644369524978782,-0.0114741256705706,-0.00307880695347385
Celltype9,Celltype9,0.0128408864374459,0.00905125888133155,1.41868513604561,0.0779954162895605,0.0177910896603805,-0.00726449293950105,0.0266638131528248
