,annotation,bootstrap_estimate,bootstrap_error,bt_value,bp_value,bias_corrected_estimate,CI_lo,CI_hi
Intercept,Intercept,0.0149405499395849,0.00227906727467298,6.55555459271324,2.77177318658921e-11,0.0143452895015269,0.0106968034629218,0.0192511345889959
Celltype1,Celltype1,0.0165623020269716,0.0176850433733801,0.936514639930233,0.174504139239736,0.0362043736742916,-0.0206210074873279,0.0400063463929672
Celltype2,Celltype2,-0.112431831869582,0.0371459179983778,-3.02676142973481,0.998764055169338,-0.115800683128569,-0.205964826599017,-0.055508600469324
Celltype3,Celltype3,-0.0106552358580672,0.00307977730086117,-3.45974231808507,0.999729653730337,-0.00989593877095512,-0.0170196471352797,-0.00567354066704747
Celltype4,Celltype4,7.8695325816897e-05,0.00567801336079458,0.0138596584432631,0.494470973267539,-0.000696075763472077,-0.00958158130830134,0.0124008076734947
Celltype5,Celltype5,0.10784076714439,0.04125760608302,2.61383966213136,0.00447655207607621,0.100081470379677,0.04415525823673,0.2144012738897
