,gene_heritability_correlation
UQCRHL,0.0267683603309998
FLJ37453,-0.00264112327866078
SPEN,0.00859967025587875
ZBTB17,0.0161712783505555
FAM131C,0
EPHA2,0.0207357981836233
RP11-276H7.2,-0.331821620831616
ARHGEF19,0.00853371971551024
RSG1,0.00481578090449881
FBXO42,-0.0470695926102651
SZRD1,-0.0202412811648448
SPATA21,0
NECAP2,-0.0564285095912933
RP4-798A10.2,0.00529957165757665
RP4-798A10.7,0.00681667371489322
RP4-798A10.4,0.00724959295033723
NBPF1,0.0105746780217946
RP5-1182A14.5,0
CROCC,0.00996004060801617
RP11-108M9.4,0.018721202208744
RP11-108M9.6,0.00921138153725744
MFAP2,0
ATP13A2,0.0148008291524239
SDHB,-0.00146791949533511
PADI2,0.0037498297747482
PADI4,0.00799483795410941
RCC2,0.0229966751570383
ARHGEF10L,-0.0261535979325039
IGSF21,0.0115508157357684
KLHDC7A,0.00640935982501566
ALDH4A1,0.00732282097887233
IFFO2,0.0134945476829774
UBR4,-0.0199954553106
RP1-43E13.2,0.0082076065830346
EMC1,0.019353563998874
MRTO4,0.00184666668857139
AKR7A3,-0.00040291099300361
AKR7A2,-0.0221317327188842
PQLC2,0.0119586253334685
CAPZB,0.00571272255994985
MINOS1,-0.0172736782157996
NBL1,-0.0377606845844873
TMCO4,0.0110395877993984
OTUD3,0.0105132827538234
PLA2G2A,0.00928954273135901
PLA2G5,0.00685472762122685
PLA2G2D,0
RP3-340N1.2,0
PLA2G2C,0
UBXN10-AS1,0.00829509331037221
UBXN10,0.00619292287986471
RP4-745E8.2,0
CAMK2N1,-0.0983586819737925
MUL1,-0.00574362682619689
FAM43B,0.0047950777569029
CDA,-0.0478835098518327
PINK1,-0.013287183185279
PINK1-AS,0.0037554089612744
DDOST,0.0419983301781032
KIF17,0.0104803920636729
HP1BP3,0.0167000874535411
EIF4G3,-0.033536701104295
ECE1,-0.0364976779147071
NBPF3,0.0108986016214858
ALPL,-0.0655183257133874
RAP1GAP,0.00781006197977861
USP48,-0.0307902863373548
LDLRAD2,0.00375012619116524
HSPG2,-0.0449886796186967
RP1-224A6.3,0.00375012619116524
LINC00339,-0.00494446060501982
CDC42,-0.0251851428363162
RP1-224A6.9,0.00375345481262263
WNT4,0
ZBTB40,-0.0387260505447719
C1QA,0.029160250130753
C1QC,0.0328346713258733
C1QB,0.0361328934096177
EPHB2,0.00530563070172816
C1orf234,0
KDM1A,0.0200192588269126
LUZP1,0.0248653112837831
HTR1D,0.00426621734989001
LINC01355,0.00836194548590652
HNRNPR,-0.0431298697532567
ZNF436,0.00669403001223197
ZNF436-AS1,0.00375397752524741
RP5-1057J7.7,0.00374819139967219
TCEA3,-0.0285802010503475
ASAP3,0.00641675199880742
E2F2,0.00375047449170917
ID3,0.000536812508569302
MDS2,0
RPL11,0.0444795338897892
TCEB3,0.0308540320758955
TCEB3-AS1,-0.0199697149943678
PITHD1,-0.0198376131314212
LYPLA2,-0.0943403606068891
GALE,0.0239544388935187
HMGCL,-0.0077547903027169
FUCA1,-0.000494782176652101
CNR2,0.010248575324274
PNRC2,-0.0170920806913842
SRSF10,0.0426772604841247
IL22RA1,0.00644099108959845
IFNLR1,0.0103669559492143
GRHL3,0
STPG1,0.0103717864356642
NIPAL3,-0.0347185561515641
RCAN3,0.0171250845702538
RP4-594I10.3,0.0114026445735185
NCMAP,0.00625157466071648
SRRM1,0.00476832217504586
CLIC4,0.00810828492965405
RUNX3,-0.00709570976628636
RP4-799D16.1,0.00374997026260527
RP4-706G24.1,0
SYF2,0.0140703571088595
RSRP1,-0.00435336223090806
RP3-465N24.6,0
RHD,0
TMEM50A,-0.0192293729575861
RHCE,0.00375017091121982
TMEM57,-0.0207138625210122
LDLRAP1,0.0230721389481046
RP11-70P17.1,0.00530353154573815
MAN1C1,-0.0127424893596876
RP1-187B23.1,-0.0878471655899508
SEPN1,-0.0353434126795036
RP1-317E23.3,0.00508614435443557
MTFR1L,0.00328229419899912
AUNIP,0
RP1-125I3.2,0
PAQR7,-0.0430651903881596
STMN1,0.0261758283641369
PAFAH2,-0.03103232736615
SLC30A2,0
TRIM63,0
PDIK1L,-0.0209230652350318
FAM110D,0.0142879381367812
RP11-96L14.7,0
ZNF593,-0.0738954217434076
CNKSR1,0.00645021258765597
CEP85,0.0109716874682243
SH3BGRL3,0.0779762422188454
UBXN11,0.0168477619811454
CD52,0.0455232207129464
AIM1L,0
ZNF683,0.00530474734500611
DHDDS,0.0164696273082892
HMGN2,0.0237924941625544
RPS6KA1,0.0230580344168319
RP5-968P14.2,0
ARID1A,-0.0626250870905429
PIGV,0.0150576581990011
ZDHHC18,0.0181812811240739
SFN,0.00499454165335744
GPN2,-0.0370807984884832
GPATCH3,-0.0858973829011054
NUDC,-0.00557811127841982
NR0B2,-0.035564598801587
KDF1,0.00827127992244093
TRNP1,0.00375144209531999
FAM46B,0.0037493396071034
SLC9A1,0.00769771213596555
WDTC1,-0.00154292647777437
TMEM222,-0.0143457017504144
SYTL1,0.0250626442118792
MAP3K6,0.0146943334217201
FCN3,-0.0528009884254446
CD164L2,0.0057134137565363
WASF2,0.0513992127101613
RP1-159A19.4,0
AHDC1,-0.0214218151877176
FGR,0.00419435890694361
RP11-288L9.1,0.00512052039794537
IFI6,0.0203953438863703
FAM76A,0.000182151558915568
STX12,-0.00291795681417479
PPP1R8,-0.0338911894514825
THEMIS2,0.0276061203005112
RPA2,0.0343445460073788
SMPDL3B,0.00629256306969667
XKR8,0.0159378970832574
EYA3,0.0193066990750173
PTAFR,0.0168612758126219
DNAJC8,0.00647039697823345
ATPIF1,-0.0512222372382989
RP5-1092A3.4,0.00734922203670406
RP5-1092A3.5,0
SESN2,0.0190454723153115
MED18,0.0114037012671404
PHACTR4,-0.00707361968223662
RCC1,0.012726480221655
TRNAU1AP,0.0198112616678594
SNHG12,0.018510309521032
TAF12,0.0171576060642354
RAB42,0.00685213567545314
RP11-442N24--B.1,0.00374976272788922
RNU11,0.00710331933702898
GMEB1,-0.0309921362352586
YTHDF2,0.0209733754288568
EPB41,-0.0475805608927566
TMEM200B,0.00375079482654135
SRSF4,-0.0234271462644748
MECR,-0.0829468698474817
PTPRU,0.00872507593152427
MATN1,0
MATN1-AS1,0.00814266288174917
LAPTM5,0.0414212362954293
RP5-1125N11.2,0
SDC3,0.0147583347418716
PUM1,-0.0117050522327212
SNRNP40,-0.0447762742025261
ZCCHC17,0.0289115840860056
FABP3,0.00375023743110837
SERINC2,-0.00803544890916436
TINAGL1,-0.0182292174262171
PEF1,0.0227652160396533
RP11-73M7.6,0
RP11-73M7.9,0
COL16A1,0.00554413512190468
ADGRB2,0
SPOCD1,0
RP11-84A19.2,0.00375228165283317
RP11-84A19.4,0.00374844952388276
PTP4A2,0.00399836553040358
KHDRBS1,0.00769675287833294
RP11-277A4.4,-0.137000083927676
TMEM39B,-0.0576059266760804
KPNA6,0.0103471476806682
TXLNA,-0.0394471048534363
CCDC28B,0.0132084512984516
RP4-622L5.7,0
IQCC,0.00374886620540594
TMEM234,0.0095233369586817
EIF3I,0.032632937202018
FAM167B,0.00452275534395557
LCK,0.0040436561406813
HDAC1,-0.0229090523357287
MARCKSL1,-0.041338925434431
TSSK3,0.00374969848324958
FAM229A,0.011096296376867
BSDC1,0.0143739808896093
ZBTB8B,0
ZBTB8A,-0.0898606196740787
ZBTB8OS,0.0165176729827048
RBBP4,0.0264179736371197
SYNC,-0.0132835334972932
KIAA1522,0.0107132567323155
YARS,0.0231013618996132
S100PBP,0.0250270355685379
FNDC5,0.0050619977352817
TMEM54,0.0118105463184131
RNF19B,0.0144052926424117
AK2,0.00109573845214802
AZIN2,0.00884322670236003
TRIM62,0.00548231946635643
ZNF362,0.0188647227493176
RP11-415J8.3,0
PHC2,-0.0398957383656459
ZSCAN20,0.00375397752524741
SMIM12,-0.0505338822620581
GJB3,0
GJA4,0.02348733998305
DLGAP3,0.00428043474786428
RP11-244H3.4,-0.327053752212482
ZMYM6NB,0.00481966219258008
ZMYM6,0.0154395120101229
ZMYM1,0.0123215090649083
SFPQ,0.0196697555771684
ZMYM4,-0.112026134955341
KIAA0319L,0.034138619684659
NCDN,0.0114448310058435
RP4-728D4.2,0.0129546364015778
TFAP2E,0.00472369452172383
PSMB2,-0.0453752806601479
C1orf216,0.0102586551977232
CLSPN,0.00581802674646913
AGO4,0.0224618304764468
AGO1,0.0194292641054924
RP4-789D17.5,0
AGO3,0.00757439923372796
ADPRHL2,0.0178962678447656
COL8A2,0
TRAPPC3,0.01519329897039
MAP7D1,0.0248740733259163
THRAP3,-0.0243822130494666
SH3D21,0.00749612277067664
EVA1B,0.0197399684538553
RP11-268J15.5,0.00374887182769024
STK40,0.0238810920040348
LSM10,-0.022216268231596
OSCP1,0.00528336132651507
MRPS15,0.00873142312290143
CSF3R,0.0242694400285615
LINC01137,-0.0802537616609361
ZC3H12A,0.0197264260382759
MEAF6,-0.00721131636568835
SNIP1,0.0169192897332633
DNALI1,0.0116113984908146
GNL2,0.0193354146151722
C1orf109,0.0134040412564092
CDCA8,0.00664379404188739
MANEAL,-0.0477246929768497
YRDC,-0.00649776182905686
C1orf122,-0.0548113611129752
MTF1,-0.0757872946366272
